1,1,2022-11-24 07:59:54,0
2,2,2022-11-24 08:24:04,0
3,2,2022-11-24 08:33:23,0
4,2,2022-11-24 08:35:27,0
5,2,2022-11-24 08:37:02,0
6,2,2022-11-24 08:38:17,0
7,2,2022-11-24 08:41:46,0
8,1,2022-11-24 08:44:26,0
9,2,2022-11-24 08:44:42,0
10,3,2022-11-24 10:45:14,0
11,13,2022-11-24 10:45:35,0
12,2,2022-11-24 10:45:46,0
13,1,2022-11-24 10:45:54,0
14,11,2022-11-24 10:47:04,0
15,2,2022-11-25 04:11:09,0
16,1,2022-11-25 04:30:38,0
17,2,2022-11-25 04:34:37,0
18,3,2022-11-25 06:47:55,0
19,2,2022-11-25 07:37:55,0
20,1,2022-11-25 08:23:36,0
21,2,2022-11-25 08:25:39,0
